,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes
0,V Kohli,5878,4609,184,504.0,202.0
1,SK Raina,5368,4041,189,493.0,194.0
2,DA Warner,5254,3819,142,510.0,195.0
3,RG Sharma,5230,4088,194,458.0,214.0
4,S Dhawan,5197,4208,175,591.0,109.0
5,AB de Villiers,4849,3264,156,390.0,235.0
6,CH Gayle,4772,3342,131,384.0,349.0
7,MS Dhoni,4632,3493,182,313.0,216.0
8,RV Uthappa,4607,3658,182,454.0,163.0
9,G Gambhir,4217,3524,151,492.0,59.0
10,AM Rahane,3933,3325,140,416.0,76.0
11,SR Watson,3874,2888,141,376.0,190.0
12,KD Karthik,3823,3023,176,377.0,105.0
13,AT Rayudu,3659,2970,149,308.0,132.0
14,MK Pandey,3268,2772,134,288.0,93.0
15,YK Pathan,3204,2330,153,262.0,159.0
16,KA Pollard,3023,2107,144,196.0,198.0
17,BB McCullum,2880,2267,109,293.0,130.0
18,PA Patel,2848,2442,136,365.0,49.0
19,Yuvraj Singh,2750,2205,126,217.0,149.0
20,V Sehwag,2728,1833,104,334.0,106.0
21,KL Rahul,2647,1990,72,234.0,104.0
22,M Vijay,2619,2208,105,247.0,91.0
23,SV Samson,2584,1970,102,191.0,115.0
24,SE Marsh,2477,1908,69,266.0,78.0
25,JH Kallis,2427,2291,95,255.0,44.0
26,DR Smith,2385,1803,88,245.0,117.0
27,SR Tendulkar,2334,2044,78,296.0,29.0
28,SPD Smith,2333,1858,86,212.0,58.0
29,F du Plessis,2302,1828,77,205.0,73.0
30,SS Iyer,2200,1802,78,189.0,83.0
31,R Dravid,2174,1918,82,269.0,28.0
32,RA Jadeja,2159,1774,136,157.0,76.0
33,RR Pant,2079,1416,68,184.0,103.0
34,AC Gilchrist,2069,1555,80,239.0,92.0
35,JP Duminy,2029,1680,75,126.0,79.0
36,SA Yadav,2024,1536,86,221.0,58.0
37,AJ Finch,2005,1622,85,204.0,75.0
38,WP Saha,1979,1541,97,184.0,64.0
39,MEK Hussey,1977,1648,58,198.0,52.0
40,Q de Kock,1959,1499,66,201.0,76.0
41,DA Miller,1850,1374,77,126.0,87.0
42,DPMD Jayawardene,1802,1520,78,200.0,39.0
43,JC Buttler,1714,1184,57,167.0,77.0
44,MK Tiwary,1695,1489,83,156.0,40.0
45,MA Agarwal,1690,1310,83,161.0,67.0
46,KC Sangakkara,1687,1424,68,195.0,27.0
47,Mandeep Singh,1659,1364,90,170.0,37.0
48,KS Williamson,1619,1222,52,137.0,54.0
49,NV Ojha,1554,1360,94,121.0,79.0
50,AD Russell,1517,882,61,105.0,129.0
51,GJ Maxwell,1505,1013,78,119.0,91.0
52,DJ Bravo,1490,1199,101,116.0,61.0
53,KK Nair,1480,1174,66,160.0,39.0
54,S Badrinath,1441,1245,65,154.0,28.0
55,N Rana,1437,1093,55,127.0,72.0
56,BJ Hodge,1400,1153,63,122.0,43.0
57,SS Tiwary,1379,1192,69,101.0,48.0
58,HH Pandya,1349,897,74,86.0,93.0
59,SC Ganguly,1349,1326,56,137.0,42.0
60,DJ Hussey,1322,1101,61,90.0,60.0
61,CA Lynn,1280,938,41,128.0,63.0
62,EJG Morgan,1272,1037,59,104.0,58.0
