,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes,Fifties,Hundreds,Highest_score,Average,Strike_rate,Strike_rate_6_Overs,Strike_rate_7-14_Overs,Strike_rate_16-20_Overs
0,V Kohli,5878,4609,184,504.0,202.0,39.0,5.0,113,36.061349693251536,127.53308743762204,108.98630136986301,125.49019607843137,108.98630136986301
1,SK Raina,5368,4041,189,493.0,194.0,38.0,1.0,100,33.55,132.83840633506557,124.24242424242425,130.2941176470588,124.24242424242425
2,DA Warner,5254,3819,142,510.0,195.0,48.0,4.0,126,41.698412698412696,137.57528148730034,130.42876901798064,138.5640266469282,130.42876901798064
3,RG Sharma,5230,4088,194,458.0,214.0,39.0,1.0,109,29.548022598870055,127.93542074363992,109.6,119.15957978989495,109.6
4,S Dhawan,5197,4208,175,591.0,109.0,41.0,2.0,106,34.19078947368421,123.50285171102662,118.85113268608414,124.6957766642806,118.85113268608414
5,AB de Villiers,4849,3264,156,390.0,235.0,37.0,3.0,133,42.53508771929825,148.56004901960785,115.9748427672956,133.313713949382,115.9748427672956
6,CH Gayle,4772,3342,131,384.0,349.0,31.0,6.0,175,41.13793103448276,142.78874925194495,128.39818089944416,155.8139534883721,128.39818089944416
7,MS Dhoni,4632,3493,182,313.0,216.0,23.0,0.0,84,36.76190476190476,132.60807328943602,72.79411764705883,102.67753201396974,72.79411764705883
8,RV Uthappa,4607,3658,182,454.0,163.0,24.0,0.0,87,27.2603550295858,125.94313832695462,119.01330376940133,125.83387835186396,119.01330376940133
9,G Gambhir,4217,3524,151,492.0,59.0,36.0,0.0,93,31.237037037037037,119.66515323496027,116.68198529411765,121.9047619047619,116.68198529411765
10,AM Rahane,3933,3325,140,416.0,76.0,28.0,2.0,105,31.464,118.28571428571429,111.15702479338843,121.94211017740429,111.15702479338843
11,SR Watson,3874,2888,141,376.0,190.0,21.0,4.0,117,30.992,134.14127423822714,111.94029850746269,152.2785898538263,111.94029850746269
12,KD Karthik,3823,3023,176,377.0,105.0,19.0,0.0,97,25.151315789473685,126.46377770426729,97.78911564625851,121.34962187318209,97.78911564625851
13,AT Rayudu,3659,2970,149,308.0,132.0,19.0,1.0,100,29.747967479674795,123.1986531986532,104.48275862068965,119.81566820276498,104.48275862068965
14,MK Pandey,3268,2772,134,288.0,93.0,18.0,1.0,114,29.98165137614679,117.8932178932179,108.62708719851577,116.8363351605325,108.62708719851577
15,YK Pathan,3204,2330,153,262.0,159.0,13.0,1.0,100,28.864864864864863,137.5107296137339,135.41666666666666,128.6053882725832,135.41666666666666
16,KA Pollard,3023,2107,144,196.0,198.0,15.0,0.0,83,28.5188679245283,143.47413383958235,70.37037037037037,124.76290832455216,70.37037037037037
17,BB McCullum,2880,2267,109,293.0,130.0,13.0,2.0,158,27.169811320754718,127.04014115571239,121.95804195804196,129.57937584803256,121.95804195804196
18,PA Patel,2848,2442,136,365.0,49.0,13.0,0.0,81,22.4251968503937,116.62571662571662,116.27118644067797,115.83333333333333,116.27118644067797
19,Yuvraj Singh,2750,2205,126,217.0,149.0,13.0,0.0,83,25.229357798165136,124.71655328798185,92.5,114.02877697841727,92.5
20,V Sehwag,2728,1833,104,334.0,106.0,16.0,2.0,122,27.836734693877553,148.82705946535734,139.01869158878506,169.26070038910507,139.01869158878506
21,KL Rahul,2647,1990,72,234.0,104.0,21.0,2.0,132,42.693548387096776,133.01507537688443,128.94472361809045,123.24621733149931,128.94472361809045
22,M Vijay,2619,2208,105,247.0,91.0,13.0,2.0,127,27.0,118.61413043478261,109.82028241335045,135.46712802768167,109.82028241335045
23,SV Samson,2584,1970,102,191.0,115.0,13.0,2.0,102,28.395604395604394,131.16751269035532,117.01093560145809,130.27322404371586,117.01093560145809
24,SE Marsh,2477,1908,69,266.0,78.0,20.0,1.0,115,38.703125,129.82180293501048,109.44444444444444,147.30538922155688,109.44444444444444
25,JH Kallis,2427,2291,95,255.0,44.0,17.0,0.0,89,27.269662921348313,105.93627237014404,98.88888888888889,98.42696629213484,98.88888888888889
26,DR Smith,2385,1803,88,245.0,117.0,17.0,0.0,87,29.444444444444443,132.27953410981698,121.01063829787235,151.8716577540107,121.01063829787235
27,SR Tendulkar,2334,2044,78,296.0,29.0,13.0,1.0,100,32.87323943661972,114.18786692759295,108.26306913996628,115.52447552447552,108.26306913996628
28,SPD Smith,2333,1858,86,212.0,58.0,11.0,1.0,101,32.40277777777778,125.56512378902045,117.06827309236948,114.2550911039657,117.06827309236948
29,F du Plessis,2302,1828,77,205.0,73.0,16.0,0.0,96,34.35820895522388,125.92997811816193,124.20091324200914,116.03153745072274,124.20091324200914
30,SS Iyer,2200,1802,78,189.0,83.0,16.0,0.0,96,30.136986301369863,122.0865704772475,102.57731958762886,130.80568720379148,102.57731958762886
31,R Dravid,2174,1918,82,269.0,28.0,11.0,0.0,75,28.233766233766232,113.34723670490094,103.75123395853899,117.57961783439491,103.75123395853899
32,RA Jadeja,2159,1774,136,157.0,76.0,1.0,0.0,50,24.53409090909091,121.70236753100338,89.28571428571429,110.46119235095613,89.28571428571429
33,RR Pant,2079,1416,68,184.0,103.0,12.0,1.0,128,35.23728813559322,146.82203389830508,117.33333333333333,137.6777251184834,117.33333333333333
34,AC Gilchrist,2069,1555,80,239.0,92.0,11.0,2.0,109,27.223684210526315,133.05466237942122,127.32758620689656,145.73002754820936,127.32758620689656
35,JP Duminy,2029,1680,75,126.0,79.0,14.0,0.0,78,41.40816326530612,120.77380952380952,93.71069182389937,102.04326923076923,93.71069182389937
36,SA Yadav,2024,1536,86,221.0,58.0,11.0,0.0,79,31.138461538461538,131.77083333333334,131.65735567970205,123.64864864864865,131.65735567970205
37,AJ Finch,2005,1622,85,204.0,75.0,14.0,0.0,88,25.705128205128204,123.61282367447596,111.59586681974741,132.4514991181658,111.59586681974741
